X,CH1,CH2,CH3,CH4,Start,Increment,
Sequence,Volt,Volt,Volt,Volt,-6.000000e-07,4.000000e-09
126,4.96e+00,1.92e+00,-4.00e-01,-1.12e+00,
127,4.80e+00,2.40e+00,2.08e+00,-1.28e+00,
128,4.24e+00,3.84e+00,2.72e+00,-1.28e+00,
129,2.64e+00,4.16e+00,3.44e+00,-3.20e-01,
130,4.80e-01,4.56e+00,4.80e+00,-3.20e-01,
131,-3.20e-01,4.64e+00,4.48e+00,8.00e-02,
132,8.00e-02,4.40e+00,4.40e+00,8.80e-01,
133,8.80e-01,4.00e+00,3.84e+00,7.20e-01,
134,2.32e+00,3.36e+00,3.60e+00,4.80e-01,
135,4.24e+00,3.12e+00,4.00e+00,1.84e+00,
136,5.20e+00,8.80e-01,4.24e+00,3.04e+00,
137,5.12e+00,7.20e-01,1.68e+00,3.44e+00,
138,4.00e+00,3.20e-01,8.00e-01,3.68e+00,
139,2.56e+00,-5.60e-01,3.20e-01,3.68e+00,
140,8.00e-01,-1.12e+00,-1.68e+00,3.52e+00,
141,-4.00e-01,-1.04e+00,-1.28e+00,3.52e+00,
142,8.00e-02,-7.20e-01,-9.60e-01,2.96e+00,
143,6.40e-01,-5.60e-01,-8.00e-01,2.40e+00,
144,2.16e+00,-2.40e-01,0.00e+00,2.32e+00,
145,4.40e+00,2.40e-01,-1.60e-01,2.40e-01,
146,4.96e+00,1.92e+00,-4.00e-01,-1.12e+00,
147,4.80e+00,2.40e+00,2.08e+00,-1.28e+00,
148,4.24e+00,3.84e+00,2.72e+00,-1.28e+00,
149,2.64e+00,4.16e+00,3.44e+00,-3.20e-01,
150,4.80e-01,4.56e+00,4.80e+00,-3.20e-01,
151,-3.20e-01,4.64e+00,4.48e+00,8.00e-02,
152,8.00e-02,4.40e+00,4.40e+00,8.80e-01,
153,8.80e-01,4.00e+00,3.84e+00,7.20e-01,
154,2.32e+00,3.36e+00,3.60e+00,5.60e-01,
155,4.24e+00,3.12e+00,4.00e+00,1.84e+00,
156,5.20e+00,8.80e-01,4.24e+00,3.04e+00,
157,5.12e+00,7.20e-01,1.68e+00,3.44e+00,
158,4.00e+00,3.20e-01,8.00e-01,3.68e+00,
159,2.56e+00,-5.60e-01,3.20e-01,3.68e+00,
160,8.00e-01,-1.12e+00,-1.68e+00,3.52e+00,
161,-4.00e-01,-1.04e+00,-1.28e+00,3.52e+00,
162,8.00e-02,-7.20e-01,-9.60e-01,2.96e+00,
163,6.40e-01,-5.60e-01,-8.00e-01,2.40e+00,
164,2.24e+00,-2.40e-01,0.00e+00,2.40e+00,
165,4.40e+00,2.40e-01,-1.60e-01,1.60e-01,
166,4.96e+00,1.92e+00,-4.00e-01,-1.12e+00,
167,4.72e+00,2.40e+00,2.08e+00,-1.28e+00,
168,4.24e+00,3.84e+00,2.72e+00,-1.28e+00,
169,2.64e+00,4.16e+00,3.44e+00,-3.20e-01,
170,4.80e-01,4.56e+00,4.80e+00,-3.20e-01,
171,-3.20e-01,4.64e+00,4.48e+00,8.00e-02,
172,8.00e-02,4.40e+00,4.40e+00,8.80e-01,
173,8.80e-01,4.00e+00,3.84e+00,7.20e-01,
174,2.32e+00,3.36e+00,3.60e+00,4.80e-01,
175,4.24e+00,3.12e+00,4.00e+00,1.84e+00,
176,5.20e+00,8.80e-01,4.24e+00,3.04e+00,
177,5.12e+00,7.20e-01,1.68e+00,3.44e+00,
178,4.00e+00,3.20e-01,8.00e-01,3.68e+00,
179,2.56e+00,-5.60e-01,3.20e-01,3.68e+00,
180,8.00e-01,-1.12e+00,-1.68e+00,3.52e+00,
181,-4.00e-01,-1.04e+00,-1.28e+00,3.52e+00,
182,8.00e-02,-7.20e-01,-9.60e-01,2.96e+00,
183,6.40e-01,-5.60e-01,-8.00e-01,2.40e+00,
184,2.16e+00,-2.40e-01,0.00e+00,2.32e+00,
185,4.40e+00,2.40e-01,-1.60e-01,1.60e-01,
186,4.96e+00,1.92e+00,-4.00e-01,-1.12e+00,
187,4.80e+00,2.40e+00,2.08e+00,-1.28e+00,
188,4.24e+00,3.84e+00,2.72e+00,-1.28e+00,
189,2.64e+00,4.16e+00,3.44e+00,-3.20e-01,
190,4.80e-01,4.56e+00,4.80e+00,-3.20e-01,
191,-3.20e-01,4.64e+00,4.48e+00,8.00e-02,
192,8.00e-02,4.40e+00,4.40e+00,8.80e-01,
193,8.80e-01,4.00e+00,3.84e+00,7.20e-01,
194,2.32e+00,3.36e+00,3.60e+00,4.80e-01,
195,4.24e+00,3.12e+00,4.00e+00,1.84e+00,
196,5.20e+00,8.80e-01,4.24e+00,3.04e+00,
197,5.12e+00,7.20e-01,1.68e+00,3.44e+00,
198,4.00e+00,3.20e-01,8.00e-01,3.68e+00,
199,2.56e+00,-5.60e-01,1.60e-01,3.68e+00,
200,8.00e-01,-1.12e+00,-1.68e+00,3.52e+00,
201,-4.00e-01,-1.04e+00,-1.28e+00,3.52e+00,
202,8.00e-02,-7.20e-01,-9.60e-01,3.04e+00,
203,6.40e-01,-5.60e-01,-8.00e-01,2.40e+00,
204,2.24e+00,-2.40e-01,0.00e+00,2.32e+00,
205,4.40e+00,2.40e-01,-1.60e-01,1.60e-01,
206,4.96e+00,1.92e+00,-4.00e-01,-1.12e+00,
207,4.80e+00,2.40e+00,2.08e+00,-1.28e+00,
208,4.24e+00,3.84e+00,2.72e+00,-1.28e+00,
209,2.64e+00,4.16e+00,3.44e+00,-3.20e-01,
210,4.80e-01,4.56e+00,4.80e+00,-3.20e-01,
211,-3.20e-01,4.64e+00,4.48e+00,8.00e-02,
212,8.00e-02,4.40e+00,4.40e+00,8.80e-01,
213,8.80e-01,3.84e+00,3.84e+00,7.20e-01,
214,2.32e+00,3.36e+00,3.60e+00,4.80e-01,
215,4.24e+00,3.12e+00,4.00e+00,1.84e+00,
216,5.20e+00,8.80e-01,4.24e+00,3.04e+00,
217,5.12e+00,7.20e-01,1.68e+00,3.44e+00,
218,4.00e+00,3.20e-01,8.00e-01,3.68e+00,
219,2.56e+00,-5.60e-01,3.20e-01,3.68e+00,
220,8.00e-01,-1.12e+00,-1.68e+00,3.52e+00,
221,-4.00e-01,-1.04e+00,-1.28e+00,3.52e+00,
222,8.00e-02,-8.00e-01,-9.60e-01,2.96e+00,
223,6.40e-01,-5.60e-01,-8.00e-01,2.40e+00,
224,2.24e+00,-2.40e-01,0.00e+00,2.32e+00,
225,4.40e+00,2.40e-01,-1.60e-01,1.60e-01,
226,4.96e+00,1.92e+00,-4.00e-01,-1.12e+00,
227,4.72e+00,2.40e+00,2.08e+00,-1.28e+00,
228,4.24e+00,3.84e+00,2.72e+00,-1.28e+00,
229,2.64e+00,4.16e+00,3.44e+00,-2.40e-01,
230,4.80e-01,4.56e+00,4.80e+00,-3.20e-01,
231,-3.20e-01,4.64e+00,4.48e+00,8.00e-02,
232,8.00e-02,4.40e+00,4.40e+00,8.80e-01,
233,8.80e-01,4.00e+00,3.84e+00,7.20e-01,
234,2.32e+00,3.36e+00,3.60e+00,5.60e-01,
235,4.24e+00,3.12e+00,4.00e+00,1.84e+00,
236,5.20e+00,8.80e-01,4.24e+00,3.04e+00,
237,5.12e+00,7.20e-01,1.68e+00,3.44e+00,
238,4.00e+00,3.20e-01,8.00e-01,3.68e+00,
239,2.56e+00,-5.60e-01,3.20e-01,3.68e+00,
240,8.00e-01,-1.12e+00,-1.68e+00,3.52e+00,
241,-4.00e-01,-1.04e+00,-1.28e+00,3.60e+00,
242,8.00e-02,-7.20e-01,-1.12e+00,2.96e+00,
243,6.40e-01,-5.60e-01,-8.00e-01,2.40e+00,
244,2.16e+00,-2.40e-01,0.00e+00,2.40e+00,
245,4.40e+00,2.40e-01,-1.60e-01,1.60e-01,
246,4.96e+00,1.92e+00,-4.00e-01,-1.12e+00,
247,4.80e+00,2.40e+00,2.08e+00,-1.28e+00,
248,4.24e+00,3.84e+00,2.72e+00,-1.28e+00,
249,2.64e+00,4.16e+00,3.44e+00,-3.20e-01,
250,4.80e-01,4.56e+00,4.88e+00,-3.20e-01,
251,-3.20e-01,4.64e+00,4.48e+00,8.00e-02,
252,8.00e-02,4.40e+00,4.40e+00,8.80e-01,
253,8.80e-01,3.84e+00,3.84e+00,7.20e-01,
254,2.32e+00,3.36e+00,3.60e+00,5.60e-01,
255,4.24e+00,3.12e+00,4.00e+00,1.84e+00,
256,5.20e+00,8.80e-01,4.24e+00,3.04e+00,
257,5.12e+00,7.20e-01,1.68e+00,3.44e+00,
258,4.00e+00,3.20e-01,8.00e-01,3.68e+00,
259,2.56e+00,-5.60e-01,3.20e-01,3.68e+00,
260,8.00e-01,-1.12e+00,-1.68e+00,3.52e+00,
261,-4.00e-01,-1.04e+00,-1.28e+00,3.52e+00,
262,8.00e-02,-7.20e-01,-9.60e-01,2.96e+00,
263,6.40e-01,-5.60e-01,-8.00e-01,2.40e+00,
264,2.24e+00,-2.40e-01,0.00e+00,2.32e+00,
265,4.40e+00,2.40e-01,-1.60e-01,1.60e-01,
266,4.96e+00,1.92e+00,-4.00e-01,-1.12e+00,
267,4.80e+00,2.40e+00,2.08e+00,-1.28e+00,
268,4.24e+00,3.84e+00,2.72e+00,-1.28e+00,
269,2.64e+00,4.16e+00,3.44e+00,-3.20e-01,
270,4.80e-01,4.56e+00,4.88e+00,-3.20e-01,
271,-3.20e-01,4.64e+00,4.48e+00,8.00e-02,
272,8.00e-02,4.40e+00,4.40e+00,8.80e-01,
273,8.80e-01,3.84e+00,3.84e+00,7.20e-01,
274,2.32e+00,3.36e+00,3.60e+00,4.80e-01,
275,4.24e+00,3.12e+00,4.00e+00,1.84e+00,
276,5.20e+00,8.80e-01,4.24e+00,3.04e+00,
277,5.12e+00,7.20e-01,1.68e+00,3.44e+00,
278,4.00e+00,2.40e-01,8.00e-01,3.68e+00,
279,2.56e+00,-4.00e-01,1.60e-01,3.68e+00,
280,8.00e-01,-1.12e+00,-1.68e+00,3.52e+00,
281,-4.00e-01,-1.12e+00,-1.28e+00,3.52e+00,
282,8.00e-02,-7.20e-01,-9.60e-01,2.96e+00,
283,6.40e-01,-5.60e-01,-8.00e-01,2.40e+00,
284,2.16e+00,-2.40e-01,0.00e+00,2.32e+00,
285,4.40e+00,2.40e-01,-1.60e-01,1.60e-01,
286,4.96e+00,1.92e+00,-4.00e-01,-1.12e+00,
287,4.80e+00,2.40e+00,2.08e+00,-1.28e+00,
288,4.24e+00,3.84e+00,2.72e+00,-1.28e+00,
289,2.64e+00,4.16e+00,3.44e+00,-3.20e-01,
290,4.80e-01,4.56e+00,4.80e+00,-3.20e-01,
291,-3.20e-01,4.64e+00,4.48e+00,8.00e-02,
292,8.00e-02,4.40e+00,4.40e+00,8.80e-01,
293,8.80e-01,4.00e+00,3.84e+00,7.20e-01,
294,2.32e+00,3.36e+00,3.60e+00,4.80e-01,
295,4.24e+00,3.12e+00,4.00e+00,1.84e+00,
296,5.20e+00,8.80e-01,4.24e+00,3.04e+00,
297,5.12e+00,7.20e-01,1.68e+00,3.44e+00,
298,4.00e+00,3.20e-01,8.00e-01,3.68e+00,
299,2.56e+00,-5.60e-01,3.20e-01,3.68e+00,
